keys,en,ru
,,
Continue,Continue,Продолжить
Play,Play,Играть
Settings,Settings,Настройки
Exit,Exit,Выход
Back,Back,Назад
,,
,,
Next,Next,Дальше
Replay,Replay,Заново
View,View,Осмотр
Level Completed,Level Completed,Уровень Пройден
Goals,Goals,Цели
,,
About,About,О нас
Language,Language,Язык
English,English,Английский
Russian,Russian,Русский
,,
,,
General,General,Общее
Viewport Scaling,Viewport Scaling,Масштабирование
Performance,Performance,Производительность
High Quality,High Quality,Качество
On,On,Включено
Off,Off,Выключено
Adaptive,Adaptive,Адаптивно
,,
Controls,Controls,Управление
Forward,Forward,Вперед
Backward,Backward,Назад
Right,Right,Вправо
Left,Left,Влево
Jump,Jump,Прыжок
Crouch,Crouch,Присесть
Interact,Interact,Взаимодействовать
Side Interact,Side Interact,Доп. Действие
Reload Scene,Reload Scene,Перезагрузка
,,
,,
Select Level,Select Level,Выбор Уровня
Tutorial,Tutorial,Обучение
Look,Look,Осмотр
Walk,Walk,Передвижение
Advanced Jumps,Advanced Jumps,Продвинутые Прыжки
